#1							
#Basel							
# 48.34         7.45          283.7            1							
#							
# hy	Ta	G_Bh	G_Dh	RH	N	FF	DD
double tab1(1776,8)							
271	-1.75	0	0	89	100	2.1	59.04
272	-1.75	0	0	91	100	1.3	33.69
273	-1.75	0	0	93	100	1.84	78.69
274	-1.75	0	0	88	100	2.9	119.74
275	-1.75	0	0	79	100	6.15	110.56
276	-1.75	0	0	77	100	8.12	102.8
277	-1.75	0	0	74	100	7.64	98.13
278	-1.75	0	0	67	100	1.8	90
279	-1.75	0	0	64	100	1.84	11.31
280	-1.75	0	0	63	100	2.74	336.8
281	-1.75	0	0	65	100	1.3	326.31
282	-1.75	0	0	67	100	1.84	348.69
283	-1.75	0	0	65	100	7.41	330.95
284	-1.75	0	0	67	100	6.12	298.07
285	-1.75	0	0	75	100	5.82	248.2
286	-1.75	0	0	78	100	6.03	197.35
287	-1.75	0	0	81	100	6.84	180
288	-1.75	0	0	82	100	4.83	153.43
289	-1.75	0	0	78	100	7.09	113.96
290	-1.75	0	0	79	100	7.86	105.95
291	-1.75	0	0	81	100	7.9	114.23
292	-1.75	0	0	80	100	6.49	123.69
293	-1.75	0	0	78	100	4.58	135
294	-1.75	0	0	73	100	5.35	160.35
295	-1.75	0	0	69	100	6.12	151.93
296	-1.75	0	0	68	100	9.29	125.54
297	-1.75	0	0	70	100	9.5	114.62
298	-1.75	0	0	73	100	7.41	119.05
299	-1.75	0	0	71	100	4.2	120.96
300	-1.75	0	0	60	100	6.61	299.36
301	-1.75	0	0	57	100	20.04	287.78
302	-1.75	0	0	73	100	11.89	268.26
303	-1.75	0	0	69	100	18.71	258.91
304	-1.75	0	0	71	100	20.16	268.98
305	-1.75	0	0	77	100	15.63	262.06
306	-1.75	0	0	76	100	13.01	255.58
307	-1.75	0	0	75	100	10.46	243.43
308	-1.75	0	0	76	100	10.79	244.29
309	-1.75	0	0	77	100	10.5	247.83
310	-1.75	0	0	81	100	10.03	248.96
311	-1.75	0	0	85	100	9	253.74
312	-1.75	0	0	87	100	9.69	248.2
313	-1.75	0	0	88	100	11.44	257.28
314	-1.75	0	0	90	100	10.95	260.54
315	-1.75	0	0	91	100	7.42	255.96
316	-1.75	0	0	91	100	6.03	252.65
317	-1.75	0	0	93	100	6.73	254.48
318	-1.75	0	0	93	100	6.15	249.44
319	-1.75	0	0	92	100	4.69	237.53
320	-1.75	0	0	92	100	4.33	228.37
321	-1.75	0	0	92	100	2.31	218.66
322	-1.75	0	0	91	100	2.9	330.26
323	-1.75	0	0	90	100	3.6	360
324	-1.75	0	0	89	100	3.4	32.01
325	-1.75	0	0	82	100	5.9	52.43
326	-1.75	0	0	68	100	9.42	46.55
327	-1.75	0	0	69	100	10.95	9.46
328	-1.75	0	0	73	100	6.15	20.56
329	-1.75	0	0	70	100	7.29	69.78
330	-1.75	0	0	64	100	11.5	69.86
331	-1.75	0	0	71	100	9.02	61.39
332	-1.75	0	0	74	100	8.5	53.62
333	-1.75	0	0	77	100	6.49	33.69
334	-1.75	0	0	83	100	6.99	348.11
335	-1.75	0	0	90	100	5.69	325.3
336	-1.75	0	0	95	100	3.67	258.69
337	-1.75	0	0	95	100	4.58	225
338	-1.75	0	0	96	100	4.21	250.02
339	-1.75	0	0	96	100	4.32	270
340	-1.75	0	0	95	100	4.38	260.54
341	-1.75	0	0	95	100	4.68	270
342	-1.75	0	0	95	100	4.74	278.75
343	-1.75	0	0	95	100	2.28	251.57
344	-1.75	0	0	95	100	1.14	251.57
345	-1.75	0	0	95	100	2.41	296.57
346	-1.75	0	0	93	100	2.9	330.26
347	-1.75	0	0	93	100	4.45	345.96
348	-1.75	0	0	93	100	6.15	339.44
349	-1.75	0	0	93	100	8.05	333.43
350	-1.75	0	0	76	100	10.59	350.22
351	-1.75	0	0	70	100	11.44	347.28
352	-1.75	0	0	69	100	9.9	340.91
353	-1.75	0	0	68	100	10.95	332.59
354	-1.75	0	0	73	100	10.38	326.31
355	-1.75	0	0	79	100	8.15	315
356	-1.75	0	0	83	100	5.9	307.57
357	-1.75	0	0	86	100	2.9	277.13
358	-1.75	0	0	87	100	4.2	239.04
359	-1.75	0	0	88	100	3.67	258.69
360	-1.75	0	0	87	100	3.88	248.2
361	-1.75	0	0	87	100	3.22	243.43
362	-1.75	0	0	87	100	1.8	233.13
363	-1.75	0	0	89	100	0.8	63.43
364	-1.75	0	0	93	100	0.72	90
365	-1.75	0	0	96	100	0.51	135
366	-1.75	0	0	95	100	1.8	180
367	-1.75	0	0	93	100	1.8	143.13
368	-1.75	0	0	93	100	1.61	116.57
369	-1.75	0	0	93	100	1.08	90
370	-1.75	0	0	90	100	1.02	315
371	-1.75	0	0	84	100	4.02	296.57
372	-1.75	0	0	79	100	5.5	301.61
373	-1.75	0	0	75	100	6.13	310.24
374	-1.75	0	0	81	100	6.57	350.54
375	-1.75	0	0	81	100	5.45	352.41
376	-1.75	0	0	81	100	5.09	351.87
377	-1.75	0	0	81	100	7.07	345.26
378	-1.75	0	0	81	100	7.75	338.2
379	-1.75	0	0	81	100	6.29	346.76
380	-1.75	0	0	81	100	6.95	338.75
381	-1.75	0	0	82	100	8.09	327.72
382	-1.75	0	0	82	100	7.64	315
383	-1.75	0	0	83	100	7.73	297.76
384	-1.75	0	0	84	100	8.4	279.87
385	-1.75	0	0	82	100	8.29	272.49
386	-1.75	0	0	80	100	9.03	274.57
387	-1.75	0	0	80	100	9.36	270
388	-1.75	0	0	79	100	10.11	274.09
389	-1.75	0	0	80	100	10.8	270
390	-1.75	0	0	79	100	10.14	263.88
