m	dofm	dofy	hi	Ta	G_Gh	Td	RH	G_Dh	FF	DD	Lin	RR	Sd	N	hs	TL	G_Bn	G_Gc	G_Dc	Gex	G_Ghmod	PAR	Snd	Lup
-	-	-	-	[°C]	[W/m2]	[°C]	[%]	[W/m2]	[m/s]	[°]	[W/m2]	[mm]	[min]	[octas]	[°]	[-]	[W/m2]	[W/m2]	[W/m2]	[W/m2]	[W/m2]	[W/m2]	[mm]	[W/m2]
1	6	6	23	2.1	0	2.0	99.0	0	6.0	280	310	0.7	0.0	8.0	-54.28	2.48	0	0	0	0.0	0.0	0	0	321
1	6	6	24	2.1	0	2.0	99.0	0	5.0	280	310	0.1	0.0	8.0	-59.08	2.48	0	0	0	0.0	0.0	0	0	320
1	7	7	1	2.3	0	2.2	99.0	0	5.0	300	311	0.0	0.0	8.0	-59.91	2.37	0	0	0	0.0	0.0	0	0	320
1	7	7	2	2.3	0	2.2	99.0	0	4.0	300	311	0.0	0.0	8.0	-56.66	2.37	0	0	0	0.0	0.0	0	0	319
1	7	7	3	2.3	0	2.2	99.0	0	4.0	300	311	0.0	0.0	8.0	-50.30	2.37	0	0	0	0.0	0.0	0	0	319
1	7	7	4	2.1	0	2.0	99.0	0	4.0	280	310	0.0	0.0	8.0	-42.18	2.37	0	0	0	0.0	0.0	0	0	318
1	7	7	5	2.1	0	2.0	99.0	0	4.0	300	310	0.0	0.0	8.0	-33.26	2.37	0	0	0	0.0	0.0	0	0	318
1	7	7	6	2.1	0	2.0	99.0	0	3.0	300	310	0.0	0.0	8.0	-24.12	2.37	0	0	0	0.0	0.0	0	0	316
1	7	7	7	1.8	0	1.7	99.0	0	3.0	320	309	0.0	0.0	8.0	-15.17	2.37	0	0	0	0.0	0.0	0	0	315
1	7	7	8	1.6	0	1.5	99.0	0	2.0	330	308	0.0	0.0	8.0	-6.74	2.37	0	0	0	0.0	0.0	0	0	312
1	7	7	9	1.3	6	1.2	99.0	6	2.0	320	306	0.0	0.4	8.0	4.15	2.37	0	17	10	30.3	2.8	3	0	319
1	7	7	10	1.2	19	1.1	99.0	19	2.0	340	306	0.0	0.6	8.0	7.13	2.37	0	96	30	175.3	15.8	9	0	319
1	7	7	11	1.3	33	1.2	99.0	33	1.0	350	306	0.0	0.7	8.0	11.83	2.37	0	179	41	289.5	29.5	16	0	320
1	7	7	12	1.2	33	1.1	99.0	33	2.0	350	287	0.0	0.0	8.0	14.56	2.37	0	231	47	354.9	38.1	17	0	319
1	7	7	13	1.1	36	1.0	99.0	36	2.0	10	287	0.0	0.0	8.0	15.07	2.37	0	242	48	366.9	39.8	18	0	319
1	7	7	14	1.2	31	1.1	99.0	31	1.0	20	287	0.0	0.0	8.0	13.31	2.37	0	208	45	324.9	34.2	15	0	319
1	7	7	15	1.3	25	1.2	99.0	25	1.0	10	288	0.0	0.6	8.0	9.44	2.37	0	136	36	231.6	22.5	12	0	319
1	7	7	16	1.1	8	1.0	99.0	8	2.0	350	305	0.0	0.6	8.0	3.79	2.37	0	50	22	93.4	8.2	4	0	318
1	7	7	17	0.9	0	0.8	99.0	0	1.0	260	304	0.0	0.0	8.0	0.42	2.37	0	0	0	0.0	0.0	0	0	306
1	7	7	18	0.7	0	0.6	99.0	0	1.0	300	304	0.0	0.0	8.0	-11.34	2.37	0	0	0	0.0	0.0	0	0	305
1	7	7	19	0.8	0	0.7	99.0	0	1.0	310	304	0.0	0.0	8.0	-20.10	2.37	0	0	0	0.0	0.0	0	0	306
1	7	7	20	0.6	0	0.5	99.0	0	2.0	300	303	0.0	0.0	8.0	-29.20	2.37	0	0	0	0.0	0.0	0	0	307
1	7	7	21	0.4	0	0.3	99.0	0	2.0	320	302	0.0	0.0	8.0	-38.28	2.37	0	0	0	0.0	0.0	0	0	306
1	7	7	22	0.3	0	0.0	98.0	0	2.0	310	302	0.0	0.0	8.0	-46.84	2.37	0	0	0	0.0	0.0	0	0	306
1	7	7	23	0.2	0	0.1	99.0	0	2.0	310	301	0.0	0.0	8.0	-54.13	2.37	0	0	0	0.0	0.0	0	0	305
1	7	7	24	0.1	0	0.0	99.0	0	1.0	270	301	0.0	0.0	8.0	-58.94	2.37	0	0	0	0.0	0.0	0	0	302
1	8	8	1	0.1	0	0.0	99.0	0	2.0	290	301	0.0	0.0	8.0	-59.79	2.34	0	0	0	0.0	0.0	0	0	305
1	8	8	2	0.1	0	0.0	99.0	0	1.0	290	301	0.0	0.0	8.0	-56.58	2.34	0	0	0	0.0	0.0	0	0	302
1	8	8	3	0.0	0	-0.1	99.0	0	1.0	280	300	0.0	0.0	8.0	-50.24	2.34	0	0	0	0.0	0.0	0	0	302
1	8	8	4	0.0	0	-0.1	99.0	0	2.0	300	300	0.0	0.0	8.0	-42.14	2.34	0	0	0	0.0	0.0	0	0	305
1	8	8	5	-0.2	0	-0.3	99.0	0	2.0	300	299	0.0	0.0	8.0	-33.23	2.34	0	0	0	0.0	0.0	0	0	304
1	8	8	6	-0.5	0	-0.6	99.0	0	3.0	280	298	0.0	0.0	8.0	-24.09	2.34	0	0	0	0.0	0.0	0	0	304
1	8	8	7	-0.7	0	-0.8	99.0	0	1.0	280	297	0.0	0.0	8.0	-15.13	2.34	0	0	0	0.0	0.0	0	0	299
1	8	8	8	-0.8	0	-0.9	99.0	0	1.0	290	296	0.0	0.0	8.0	-6.70	2.34	0	0	0	0.0	0.0	0	0	298
