m	dofm	dofy	hi	Ta	G_Gh	Td	RH	G_Dh	FF	DD	Lin	RR	Sd	N	hs	TL	G_Bn	G_Gc	G_Dc	Gex	G_Ghmod	PAR	Snd	Lup
-	-	-	-	[°C]	[W/m2]	[°C]	[%]	[W/m2]	[m/s]	[°]	[W/m2]	[mm]	[min]	[octas]	[°]	[-]	[W/m2]	[W/m2]	[W/m2]	[W/m2]	[W/m2]	[W/m2]	[mm]	[W/m2]
1	4	4	21	-0.2	0	-0.2	100.0	0	2.0	50	280	0.0	0.0	8.0	-38.72	2.34	0	0	0	0.0	0.0	0	15	304
1	4	4	22	-0.2	0	-0.2	100.0	0	2.0	50	280	0.0	0.0	8.0	-47.28	2.34	0	0	0	0.0	0.0	0	15	304
1	4	4	23	0.0	0	-0.3	98.0	0	2.0	70	281	0.4	0.0	8.0	-54.56	2.34	0	0	0	0.0	0.0	0	17	305
1	4	4	24	0.3	0	-0.1	97.0	0	3.0	80	283	0.0	0.0	8.0	-59.33	2.34	0	0	0	0.0	0.0	0	17	308
1	5	5	1	0.5	0	0.5	100.0	0	4.0	80	284	2.9	0.0	8.0	-60.12	2.62	0	0	0	0.0	0.0	0	17	311
1	5	5	2	0.5	0	0.5	100.0	0	4.0	80	284	0.4	0.0	8.0	-56.80	2.62	0	0	0	0.0	0.0	0	16	311
1	5	5	3	0.4	0	0.1	98.0	0	4.0	80	283	0.2	0.0	8.0	-50.38	2.62	0	0	0	0.0	0.0	0	17	310
1	5	5	4	0.4	0	0.1	98.0	0	5.0	80	283	0.9	0.0	8.0	-42.23	2.62	0	0	0	0.0	0.0	0	21	312
1	5	5	5	0.6	0	0.6	100.0	0	5.0	90	284	1.3	0.0	8.0	-33.30	2.62	0	0	0	0.0	0.0	0	21	313
1	5	5	6	0.6	0	0.6	100.0	0	6.0	80	284	0.0	0.0	8.0	-24.16	2.62	0	0	0	0.0	0.0	0	20	314
1	5	5	7	0.6	0	0.6	100.0	0	6.0	90	284	0.0	0.0	8.0	-15.22	2.62	0	0	0	0.0	0.0	0	20	314
1	5	5	8	0.7	0	0.7	100.0	0	6.0	90	285	0.0	0.0	8.0	-6.82	2.62	0	0	0	0.0	0.0	0	19	314
1	5	5	9	0.6	0	0.6	100.0	0	7.0	80	284	0.0	0.0	8.0	4.04	2.62	0	16	10	28.8	1.9	0	19	315
1	5	5	10	0.6	9	0.6	100.0	9	6.0	90	284	0.0	0.0	8.0	7.00	2.62	0	91	33	172.1	10.9	5	19	316
1	5	5	11	0.9	31	-0.3	92.0	31	7.0	90	286	0.0	0.2	8.0	11.67	2.62	0	170	46	285.5	20.5	15	18	316
1	5	5	12	0.9	36	-0.1	93.0	36	7.0	80	286	0.0	0.2	8.0	14.36	2.62	0	220	52	350.0	26.6	18	18	316
1	5	5	13	0.6	22	-0.3	94.0	22	7.0	90	284	0.0	0.0	8.0	14.83	2.62	0	230	53	361.3	27.7	11	17	316
1	5	5	14	0.4	17	-0.5	94.0	17	7.0	90	283	0.0	0.0	8.0	13.04	2.62	0	196	49	318.6	23.7	9	17	316
1	5	5	15	0.4	17	-0.7	92.0	17	7.0	90	283	0.0	0.0	8.0	9.16	2.62	0	127	39	224.7	15.3	9	17	316
1	5	5	16	0.1	0	-0.9	93.0	0	7.0	90	282	0.1	0.0	8.0	3.50	2.62	0	45	22	86.2	5.4	0	17	312
1	5	5	17	-0.2	0	-1.1	94.0	0	7.0	90	280	0.2	0.0	8.0	0.12	2.62	0	0	0	0.0	0.0	0	18	311
1	5	5	18	-0.4	0	-1.2	94.0	0	7.0	90	279	0.1	0.0	8.0	-11.64	2.62	0	0	0	0.0	0.0	0	18	310
1	5	5	19	-0.4	0	-1.8	90.0	0	7.0	100	279	0.5	0.0	8.0	-20.40	2.62	0	0	0	0.0	0.0	0	21	310
1	5	5	20	-0.7	0	-1.8	92.0	0	6.0	100	278	0.3	0.0	8.0	-29.50	2.62	0	0	0	0.0	0.0	0	22	308
1	5	5	21	-0.7	0	-1.8	92.0	0	7.0	100	297	0.6	0.0	8.0	-38.58	2.62	0	0	0	0.0	0.0	0	25	309
1	5	5	22	-0.7	0	-1.7	93.0	0	7.0	90	297	0.1	0.0	8.0	-47.14	2.62	0	0	0	0.0	0.0	0	25	309
1	5	5	23	-0.7	0	-2.0	91.0	0	7.0	100	297	0.0	0.0	8.0	-54.42	2.62	0	0	0	0.0	0.0	0	25	309
1	5	5	24	-0.7	0	-2.0	91.0	0	6.0	100	297	0.1	0.0	8.0	-59.21	2.62	0	0	0	0.0	0.0	0	26	308
1	6	6	1	-0.9	0	-2.2	91.0	0	6.0	100	296	1.1	0.0	8.0	-60.02	2.48	0	0	0	0.0	0.0	0	31	307
1	6	6	2	-0.9	0	-2.0	92.0	0	6.0	100	296	2.2	0.0	8.0	-56.74	2.48	0	0	0	0.0	0.0	0	42	307
1	6	6	3	-1.1	0	-2.2	92.0	0	7.0	90	295	0.9	0.0	8.0	-50.34	2.48	0	0	0	0.0	0.0	0	47	307
1	6	6	4	-1.1	0	-2.1	93.0	0	9.0	90	295	0.3	0.0	8.0	-42.21	2.48	0	0	0	0.0	0.0	0	48	308
1	6	6	5	-1.2	0	-2.2	93.0	0	7.0	100	294	0.4	0.0	8.0	-33.28	2.48	0	0	0	0.0	0.0	0	50	306
1	6	6	6	-1.3	0	-2.1	94.0	0	5.0	100	294	0.2	0.0	8.0	-24.14	2.48	0	0	0	0.0	0.0	0	51	304
1	6	6	7	-1.5	0	-2.3	94.0	0	8.0	90	293	0.0	0.0	8.0	-15.20	2.48	0	0	0	0.0	0.0	0	51	306
1	6	6	8	-1.7	0	-2.3	96.0	0	6.0	90	292	0.0	0.0	8.0	-6.78	2.48	0	0	0	0.0	0.0	0	51	303
1	6	6	9	-2.0	0	-2.4	97.0	0	7.0	100	271	0.0	0.0	8.0	4.09	2.48	0	16	10	29.5	1.8	0	51	303
1	6	6	10	-2.3	14	-2.3	100.0	14	7.0	90	270	0.0	0.0	8.0	7.06	2.48	0	93	31	173.6	10.4	7	50	304
1	6	6	11	-2.1	20	-2.9	94.0	20	6.0	90	271	0.1	0.0	8.0	11.75	2.48	0	174	43	287.4	19.5	10	51	305
